year	benchmark	value	avg
1	1	7.7	9.18
1	2	7.7	9.27
1	3	0	0.00
1	4	7.7	9.43
1	5	7.7	8.99
1	6	7.7	1.85
1	7	7.7	9.20
1	8	7.7	9.00
1	9	7.7	9.36
1	10	0	0.00
1	11	7.7	9.48
1	12	7.7	9.08
1	13	7.7	9.18
1	14	7.7	9.39
1	15	7.7	9.23
1	16	0	9.09
2	1	8.3	9.16
2	2	8.3	9.29
2	3	0	0.00
2	4	8.3	9.41
2	5	8.3	8.98
2	6	0	1.87
2	7	8.3	9.12
2	8	8.3	8.91
2	9	8.3	9.30
2	10	0	0.00
2	11	0	9.47
2	12	8.3	9.20
2	13	8.3	9.19
2	14	8.3	9.39
2	15	8.3	9.15
2	16	8.3	9.06
3	1	8.3	9.28
3	2	8.3	9.32
3	3	0	0.00
3	4	8.3	9.52
3	5	8.3	9.09
3	6	0	1.87
3	7	0	9.35
3	8	8.3	9.09
3	9	8.3	9.39
3	10	0	0.00
3	11	0	9.50
3	12	8.3	9.21
3	13	8.3	9.35
3	14	8.3	9.45
3	15	8.3	9.28
3	16	8.3	9.16
4	1	14.3	9.45
4	2	14.3	9.48
4	3	0	0.00
4	4	14.3	9.51
4	5	14.3	9.35
4	6	0	0.00
4	7	0	0.00
4	8	14.3	0.00
4	9	14.3	9.58
4	10	0	0.00
4	11	0	0.00
4	12	0	0.00
4	13	14.3	0.00
4	14	0	9.57
4	15	0	0.00
4	16	0	0.00
5	1	11.1	9.46
5	2	11.1	9.47
5	3	0	0.00
5	4	11.1	9.48
5	5	11.1	9.45
5	6	0	0.00
5	7	0	0.00
5	8	11.1	0.00
5	9	11.1	9.59
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	11.1	0.00
5	14	11.1	9.60
5	15	11.1	9.53
5	16	0	0.00
