year	benchmark	value	avg
1	1	0	0.00
1	2	0	0.00
1	3	0	0.00
1	4	0	0.00
1	5	0	0.00
1	6	0	0.00
1	7	0	0.00
1	8	0	0.00
1	9	0	0.00
1	10	0	0.00
1	11	0	0.00
1	12	0	0.00
1	13	0	0.00
1	14	0	0.00
1	15	0	0.00
1	16	0	0.00
2	1	0	0.00
2	2	0	0.00
2	3	0	0.00
2	4	0	0.00
2	5	0	0.00
2	6	0	0.00
2	7	0	0.00
2	8	0	0.00
2	9	0	0.00
2	10	0	0.00
2	11	0	0.00
2	12	0	0.00
2	13	0	0.00
2	14	0	0.00
2	15	0	0.00
2	16	0	0.00
3	1	0	0.00
3	2	0	0.00
3	3	0	0.00
3	4	0	0.00
3	5	0	0.00
3	6	0	0.00
3	7	0	0.00
3	8	0	0.00
3	9	0	0.00
3	10	0	0.00
3	11	0	0.00
3	12	0	0.00
3	13	0	0.00
3	14	0	0.00
3	15	0	0.00
3	16	0	0.00
4	1	4.2	9.43
4	2	6.2	9.32
4	3	0	0.00
4	4	12.5	9.49
4	5	12.5	9.40
4	6	0	0.00
4	7	6.2	9.49
4	8	12.5	9.13
4	9	4.2	9.63
4	10	0	0.00
4	11	0	9.61
4	12	12.5	0.00
4	13	4.2	9.47
4	14	6.2	9.68
4	15	12.5	9.44
4	16	6.2	9.30
5	1	20	9.50
5	2	0	9.44
5	3	0	0.00
5	4	20	9.45
5	5	20	9.35
5	6	0	0.00
5	7	0	9.43
5	8	0	9.21
5	9	0	9.65
5	10	0	0.00
5	11	0	9.67
5	12	0	0.00
5	13	0	9.55
5	14	20	9.67
5	15	20	9.50
5	16	0	9.39
