year	benchmark	value	avg
1	1	9.1	9.25
1	2	0	9.35
1	3	0	0.00
1	4	9.1	9.51
1	5	9.1	8.89
1	6	9.1	1.86
1	7	9.1	9.22
1	8	9.1	9.04
1	9	9.1	9.23
1	10	0	0.00
1	11	0	0.00
1	12	9.1	9.15
1	13	9.1	9.22
1	14	0	9.41
1	15	9.1	9.15
1	16	9.1	8.98
2	1	9.1	9.26
2	2	9.1	9.22
2	3	0	0.00
2	4	9.1	9.48
2	5	9.1	8.96
2	6	9.1	1.96
2	7	9.1	9.21
2	8	9.1	8.86
2	9	9.1	9.28
2	10	0	0.00
2	11	0	0.00
2	12	9.1	9.13
2	13	9.1	9.20
2	14	4.5	9.22
2	15	4.5	9.33
2	16	0	8.81
3	1	10	9.27
3	2	10	9.39
3	3	0	0.00
3	4	10	9.50
3	5	10	9.05
3	6	10	1.85
3	7	10	9.32
3	8	10	8.97
3	9	10	9.36
3	10	0	0.00
3	11	0	0.00
3	12	10	9.32
3	13	10	9.27
3	14	0	9.47
3	15	0	9.22
3	16	0	9.15
4	1	8.3	9.31
4	2	8.3	9.40
4	3	0	0.00
4	4	8.3	9.35
4	5	8.3	9.22
4	6	8.3	1.72
4	7	8.3	9.33
4	8	8.3	9.06
4	9	8.3	9.43
4	10	0	0.00
4	11	0	9.87
4	12	8.3	9.41
4	13	8.3	9.36
4	14	8.3	9.52
4	15	0	9.39
4	16	8.3	9.04
5	1	11.1	9.27
5	2	11.1	9.36
5	3	0	0.00
5	4	11.1	9.30
5	5	11.1	9.29
5	6	0	0.00
5	7	0	0.00
5	8	11.1	9.30
5	9	11.1	9.50
5	10	0	0.00
5	11	0	0.00
5	12	0	0.00
5	13	11.1	9.63
5	14	11.1	9.57
5	15	11.1	9.44
5	16	0	0.00
